Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[  1.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=10023ms
[ 15.0s] tables=12 occupied=4 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6132ms
[ 30.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6076ms
[ 44.9s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6153ms
[ 60.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6075ms
[ 75.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6037ms
[ 90.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6234ms
[105.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5878ms
[120.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=5883ms
[135.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5864ms
[150.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6095ms
[164.9s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6053ms
[180.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4668ms
[195.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4678ms
[210.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4767ms
[225.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4624ms
[240.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4663ms
[255.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4683ms
[270.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4808ms
[285.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4845ms
[300.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4843ms
[314.9s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4781ms
[330.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4735ms
[345.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4739ms
[360.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4735ms
[375.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4681ms
[390.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4918ms
[405.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4809ms
[420.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4642ms
[435.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4690ms
[450.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4659ms
[465.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4740ms
[480.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4755ms
[494.9s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4691ms
[510.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=5104ms
[525.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4774ms
[540.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=4894ms
[555.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4668ms
[570.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=7879ms
[585.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6071ms
[600.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6260ms
[615.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6228ms
[630.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6690ms
[645.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6112ms
[660.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6255ms
[675.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6285ms
[690.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6292ms
[705.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=7018ms
[720.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=5396ms
[735.0s] tables=12 occupied=5 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5471ms
[750.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=5078ms
[765.0s] tables=12 occupied=4 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5494ms
[779.9s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=5244ms
[795.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4983ms
[810.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=8496ms
[825.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6358ms
[840.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6406ms
[855.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6340ms
[870.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=9470ms
[885.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6372ms
[900.0s] tables=12 occupied=4 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6266ms
[915.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=9095ms
[930.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6189ms
[945.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6315ms
[960.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6223ms
[975.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=6356ms
[990.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=6315ms
[1005.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=6322ms
