ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T04:58:11,1.01,1542,2255,0,1.20,,936,,275,,49,,46,28,2700
2026-09-06T04:58:21,1.46,2044,1753,0,3.63,2.16,1187,1.39,323,0.01,49,0.03,46,28,2700
2026-09-06T04:58:31,1.91,2072,1725,0,3.47,1.91,1207,1.38,330,0.01,49,0.03,46,28,2700
2026-09-06T04:58:41,2.49,2130,1667,0,3.00,1.66,1246,1.29,330,0.01,49,0.02,47,28,2600
2026-09-06T04:58:51,2.58,2111,1686,0,2.89,1.55,1213,1.29,330,0.01,49,0.02,47,28,2961
2026-09-06T04:59:01,3.11,2079,1718,0,3.35,1.92,1230,1.37,330,0.01,49,0.02,48,28,2700
2026-09-06T04:59:11,3.47,2170,1627,0,3.01,1.68,1271,1.28,330,0.01,49,0.03,47,28,2600
2026-09-06T04:59:21,3.16,2052,1745,0,2.87,1.52,1237,1.29,330,0.01,49,0.02,47,28,3019
2026-09-06T04:59:31,3.67,2143,1654,0,3.45,1.91,1250,1.37,330,0.01,49,0.03,46,28,2800
2026-09-06T04:59:41,3.81,2172,1625,0,3.00,1.68,1299,1.26,330,0.01,49,0.02,47,28,2700
2026-09-06T04:59:51,3.74,2103,1694,0,2.87,1.53,1272,1.28,330,0.01,49,0.02,48,28,2750
2026-09-06T05:00:01,3.91,2121,1676,0,3.36,1.91,1276,1.38,330,0.01,49,0.03,45,28,2700
2026-09-06T05:00:11,3.70,2162,1635,0,3.03,1.70,1316,1.27,330,0.01,49,0.02,47,28,2600
2026-09-06T05:00:21,3.91,2147,1650,0,2.84,1.49,1269,1.27,330,0.01,49,0.02,47,28,2700
2026-09-06T05:00:31,3.91,2151,1646,0,3.33,1.87,1286,1.36,330,0.01,49,0.03,47,28,2800
2026-09-06T05:00:41,3.94,2183,1614,0,3.08,1.68,1334,1.27,330,0.01,49,0.02,47,28,2500
2026-09-06T05:00:51,3.73,2143,1654,0,2.88,1.52,1303,1.30,330,0.01,49,0.02,47,28,3076
2026-09-06T05:01:01,3.91,2166,1631,0,3.36,1.92,1314,1.37,330,0.01,49,0.03,48,28,2202
2026-09-06T05:01:11,4.17,2114,1683,0,2.86,1.43,1340,1.38,330,0.01,49,0.03,47,28,2700
2026-09-06T05:01:21,4.44,2184,1613,0,2.31,0.48,1330,1.73,330,0.01,49,0.03,48,28,2601
2026-09-06T05:01:31,4.61,2178,1619,0,2.70,1.01,1335,1.62,330,0.01,49,0.03,47,28,2000
2026-09-06T05:01:41,4.53,2169,1628,0,2.60,0.90,1340,1.60,330,0.01,49,0.04,46,28,2600
2026-09-06T05:01:51,4.06,2167,1630,0,2.14,0.45,1330,1.62,330,0.01,49,0.03,49,28,2000
2026-09-06T05:02:01,4.53,2167,1630,0,2.77,1.02,1345,1.68,330,0.01,49,0.03,45,28,2300
2026-09-06T05:02:11,3.91,2196,1601,0,2.49,0.89,1340,1.54,330,0.01,49,0.03,48,28,2600
2026-09-06T05:02:21,3.84,2170,1627,0,2.30,0.48,1330,1.75,330,0.01,49,0.03,46,28,2200
2026-09-06T05:02:31,3.80,2166,1631,0,2.55,0.98,1324,1.49,330,0.01,49,0.03,48,28,2500
2026-09-06T05:02:41,3.60,2176,1621,0,2.59,0.89,1340,1.54,330,0.01,49,0.03,45,28,2600
2026-09-06T05:02:51,3.36,2168,1629,0,2.35,0.49,1330,1.79,330,0.01,49,0.04,47,28,2600
2026-09-06T05:03:01,3.29,2166,1631,0,2.62,1.00,1335,1.55,330,0.01,49,0.03,46,28,2600
2026-09-06T05:03:11,3.64,2138,1659,0,2.57,0.89,1340,1.62,330,0.01,49,0.03,47,28,2600
2026-09-06T05:03:21,3.93,2174,1623,0,2.11,0.46,1330,1.59,330,0.01,49,0.03,47,28,2277
2026-09-06T05:03:31,3.54,2210,1587,0,2.75,1.02,1335,1.65,330,0.01,49,0.03,48,28,2600
2026-09-06T05:03:42,3.61,2144,1653,0,2.74,0.93,1351,1.66,330,0.01,49,0.04,48,28,2700
2026-09-06T05:03:52,3.66,2083,1714,0,2.26,0.47,1320,1.72,330,0.01,49,0.04,46,28,2100
2026-09-06T05:04:02,3.62,2125,1672,0,2.66,1.00,1335,1.59,330,0.01,49,0.03,45,28,2100
2026-09-06T05:04:12,3.54,2182,1615,0,2.66,0.92,1340,1.67,330,0.01,49,0.04,48,28,2700
2026-09-06T05:04:22,3.60,2141,1656,0,2.24,0.46,1330,1.70,330,0.01,49,0.03,47,28,1700
2026-09-06T05:04:32,3.89,2170,1627,0,2.68,0.97,1335,1.63,330,0.01,49,0.03,46,28,2600
2026-09-06T05:04:42,3.82,2139,1658,0,2.62,0.89,1340,1.57,330,0.01,49,0.03,47,28,2600
2026-09-06T05:04:52,3.94,2136,1661,0,2.33,0.49,1330,1.76,330,0.01,49,0.04,46,28,1100
2026-09-06T05:05:02,3.80,2154,1643,0,2.81,1.02,1335,1.70,330,0.01,49,0.03,47,28,2000
2026-09-06T05:05:12,3.53,2184,1613,0,2.63,0.93,1340,1.63,330,0.01,49,0.03,47,28,2600
2026-09-06T05:05:22,3.36,2137,1660,0,2.14,0.41,1330,1.66,330,0.01,49,0.03,47,28,1400
2026-09-06T05:05:32,3.31,2128,1669,0,2.69,1.00,1326,1.62,330,0.01,49,0.03,46,28,2600
2026-09-06T05:05:42,3.20,2159,1638,0,2.77,0.94,1340,1.66,330,0.01,49,0.04,47,28,2625
2026-09-06T05:05:52,3.33,2180,1617,0,2.33,0.45,1330,1.81,330,0.01,49,0.04,46,28,2600
2026-09-06T05:06:02,3.44,2196,1601,0,2.77,1.02,1334,1.68,330,0.01,49,0.03,46,28,2600
2026-09-06T05:06:12,3.91,2120,1677,0,2.69,0.92,1340,1.65,330,0.01,49,0.04,46,28,2700
2026-09-06T05:06:22,3.68,2114,1683,0,2.22,0.44,1330,1.71,330,0.01,49,0.04,47,28,2300
2026-09-06T05:06:32,3.50,2176,1621,0,2.64,0.99,1335,1.57,330,0.01,49,0.03,48,28,2600
2026-09-06T05:06:42,3.73,2158,1639,0,2.78,0.91,1340,1.68,330,0.01,49,0.03,47,28,2600
2026-09-06T05:06:52,3.47,2119,1678,0,2.32,0.49,1330,1.74,330,0.01,49,0.04,47,28,2600
2026-09-06T05:07:02,3.38,2166,1631,0,2.65,1.01,1334,1.58,330,0.01,49,0.03,46,28,800
2026-09-06T05:07:12,3.47,2139,1658,0,2.66,0.93,1340,1.65,330,0.01,49,0.04,48,28,2700
2026-09-06T05:07:22,3.48,2202,1595,0,2.08,0.42,1330,1.61,330,0.01,49,0.03,47,28,1471
2026-09-06T05:07:32,3.24,2197,1600,0,2.78,1.02,1335,1.68,330,0.01,49,0.04,46,28,2600
2026-09-06T05:07:42,3.62,2158,1639,0,2.77,0.90,1340,1.66,330,0.01,49,0.03,47,28,2600
2026-09-06T05:07:52,3.59,2183,1614,0,2.84,1.58,1306,1.20,330,0.01,49,0.02,47,28,3137
2026-09-06T05:08:02,4.02,2210,1587,0,3.35,1.90,1307,1.38,330,0.01,49,0.03,47,28,2920
2026-09-06T05:08:12,3.80,2221,1576,0,3.13,1.75,1340,1.32,330,0.01,49,0.03,47,28,2700
2026-09-06T05:08:22,3.37,2158,1639,0,2.88,1.49,1326,1.34,330,0.01,49,0.02,49,28,2700
2026-09-06T05:08:32,3.22,2210,1587,0,3.39,1.92,1298,1.40,330,0.01,49,0.03,46,28,2800
2026-09-06T05:08:42,3.27,2189,1608,0,3.10,1.67,1327,1.27,330,0.01,49,0.03,46,28,2600
2026-09-06T05:08:52,3.37,2148,1649,0,2.90,1.51,1305,1.32,330,0.01,49,0.03,48,28,2913
2026-09-06T05:09:02,3.75,2222,1575,0,3.38,1.93,1307,1.38,330,0.01,49,0.02,46,28,2802
2026-09-06T05:09:12,4.11,2228,1569,0,3.15,1.76,1322,1.33,330,0.01,49,0.03,47,28,2700
2026-09-06T05:09:22,4.10,2212,1585,0,2.83,1.47,1317,1.30,330,0.01,49,0.02,46,28,2800
2026-09-06T05:09:32,4.69,2214,1583,0,3.37,1.92,1310,1.38,330,0.01,49,0.03,48,28,3100
2026-09-06T05:09:42,4.92,2230,1567,0,3.09,1.72,1320,1.31,330,0.01,49,0.02,48,28,2700
2026-09-06T05:09:52,4.31,2156,1641,0,2.80,1.46,1320,1.26,330,0.01,49,0.02,48,28,2879
2026-09-06T05:10:02,4.18,2147,1650,0,3.27,1.78,1290,1.42,330,0.01,49,0.03,48,28,2000
2026-09-06T05:10:12,4.25,2176,1621,0,2.65,0.98,1318,1.60,330,0.01,49,0.03,47,28,2700
2026-09-06T05:10:22,3.60,2173,1624,0,2.23,0.49,1306,1.66,330,0.01,49,0.03,46,28,800
2026-09-06T05:10:32,4.02,2170,1627,0,2.96,1.18,1336,1.70,330,0.02,49,0.03,47,28,800
2026-09-06T05:10:42,3.95,2128,1669,0,2.73,0.97,1306,1.68,330,0.01,49,0.03,48,28,2700
2026-09-06T05:10:52,3.72,2173,1624,0,2.29,0.42,1321,1.70,330,0.01,49,0.03,48,28,2000
2026-09-06T05:11:02,3.38,2163,1634,0,2.83,1.24,1287,1.52,330,0.01,49,0.03,48,28,2200
2026-09-06T05:11:12,3.25,2230,1567,0,2.79,1.02,1327,1.69,330,0.01,49,0.04,47,28,2676
2026-09-06T05:11:22,2.91,2171,1626,0,2.23,0.45,1312,1.71,330,0.01,49,0.04,48,28,2500
2026-09-06T05:11:32,3.13,2181,1616,0,2.79,1.04,1327,1.67,330,0.01,49,0.03,47,28,2300
2026-09-06T05:11:42,3.19,2154,1643,0,2.75,0.99,1297,1.68,330,0.01,49,0.03,47,28,2600
2026-09-06T05:11:52,3.59,2217,1580,0,2.94,1.57,1291,1.21,330,0.01,49,0.02,48,28,2800
2026-09-06T05:12:02,3.72,2175,1622,0,3.40,1.95,1328,1.38,330,0.01,49,0.03,47,28,2700
2026-09-06T05:12:12,4.00,2251,1546,0,3.16,1.77,1335,1.34,330,0.01,49,0.02,47,28,2500
2026-09-06T05:12:22,4.31,2182,1615,0,2.77,1.45,1329,1.26,330,0.01,49,0.02,48,28,2700
2026-09-06T05:12:32,4.54,2241,1556,0,3.41,1.95,1321,1.38,330,0.01,49,0.03,47,28,2700
2026-09-06T05:12:42,4.24,2253,1544,0,3.15,1.77,1356,1.32,330,0.01,49,0.03,48,28,2608
2026-09-06T05:12:52,4.27,2148,1649,0,3.11,1.74,1328,1.29,330,0.01,49,0.02,47,28,2700
2026-09-06T05:13:02,4.22,2185,1612,0,3.41,1.94,1327,1.40,330,0.01,49,0.03,47,28,2700
2026-09-06T05:13:12,3.96,2246,1551,0,3.13,1.76,1320,1.31,330,0.01,49,0.02,47,28,2600
2026-09-06T05:13:22,3.74,2180,1617,0,2.79,1.45,1302,1.29,330,0.01,49,0.02,48,28,3112
2026-09-06T05:13:32,3.86,2248,1549,0,3.63,2.19,1363,1.37,330,0.01,49,0.03,48,28,2600
2026-09-06T05:13:42,3.74,2217,1580,0,3.20,1.78,1341,1.35,330,0.01,49,0.02,47,28,2700
2026-09-06T05:13:52,3.39,2209,1588,0,2.83,1.41,1312,1.26,330,0.01,49,0.02,48,28,2700
2026-09-06T05:14:02,3.32,2205,1592,0,3.37,1.94,1314,1.37,330,0.01,49,0.02,48,28,2700
2026-09-06T05:14:12,3.35,2182,1615,0,3.17,1.78,1343,1.33,330,0.01,49,0.03,46,28,2600
2026-09-06T05:14:22,2.99,2152,1645,0,2.79,1.44,1307,1.29,330,0.01,49,0.02,48,28,3000
2026-09-06T05:14:32,3.49,2233,1564,0,3.42,1.96,1299,1.40,330,0.01,49,0.03,47,28,2700
2026-09-06T05:14:42,3.81,2243,1554,0,3.18,1.77,1375,1.35,330,0.01,49,0.03,47,28,2700
