ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T05:59:10,1.40,1209,2588,0,0.67,,572,,259,,49,,48,28,800
2026-09-06T05:59:20,1.27,2031,1766,0,1.82,1.33,1182,0.41,276,0.01,49,0.04,47,28,800
2026-09-06T05:59:30,1.29,2002,1795,0,1.13,0.59,1234,0.43,276,0.02,49,0.05,49,28,800
2026-09-06T05:59:40,1.41,1982,1815,0,1.14,0.63,1235,0.41,283,0.01,49,0.05,46,28,800
2026-09-06T05:59:50,1.42,1989,1808,0,0.51,0.01,1266,0.42,283,0.02,49,0.06,48,28,800
2026-09-06T06:00:00,1.35,1976,1821,0,1.11,0.58,1262,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:00:10,1.22,2003,1794,0,1.07,0.57,1267,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:00:20,1.12,1982,1815,0,0.54,0.01,1267,0.43,283,0.02,49,0.06,46,28,800
2026-09-06T06:00:30,1.17,1995,1802,0,1.08,0.57,1262,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:00:40,1.14,2016,1781,0,1.12,0.58,1267,0.40,283,0.01,49,0.04,46,28,1300
2026-09-06T06:00:50,0.97,2005,1792,0,0.53,0.01,1277,0.44,283,0.02,49,0.06,48,28,800
2026-09-06T06:01:00,0.97,2023,1774,0,1.08,0.57,1273,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:01:10,1.06,1997,1800,0,1.07,0.57,1277,0.43,283,0.02,49,0.05,48,28,820
2026-09-06T06:01:20,0.90,2013,1784,0,0.53,0.01,1277,0.44,283,0.02,49,0.06,47,28,1100
2026-09-06T06:01:30,0.83,2020,1777,0,1.09,0.58,1273,0.42,283,0.02,49,0.06,46,28,825
2026-09-06T06:01:40,0.78,2017,1780,0,1.14,0.58,1277,0.42,283,0.01,49,0.05,47,28,800
2026-09-06T06:01:50,0.82,2004,1793,0,0.53,0.01,1277,0.44,283,0.02,49,0.06,48,28,800
2026-09-06T06:02:00,1.07,1989,1808,0,1.09,0.58,1273,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:02:10,0.98,1980,1817,0,1.07,0.57,1237,0.43,283,0.01,49,0.05,48,28,800
2026-09-06T06:02:20,0.83,1999,1798,0,0.52,0.01,1267,0.43,283,0.02,49,0.06,47,28,800
2026-09-06T06:02:30,0.92,1979,1818,0,1.09,0.58,1262,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:02:40,1.08,2026,1771,0,1.12,0.57,1267,0.41,283,0.01,49,0.04,48,28,800
2026-09-06T06:02:50,1.06,1998,1799,0,0.52,0.01,1267,0.43,283,0.02,49,0.06,47,28,800
2026-09-06T06:03:01,0.97,1990,1807,0,1.09,0.58,1262,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:03:11,1.14,2002,1795,0,1.08,0.57,1267,0.43,283,0.02,49,0.04,47,28,800
2026-09-06T06:03:21,0.96,1993,1804,0,0.54,0.01,1267,0.44,283,0.02,49,0.07,46,28,800
2026-09-06T06:03:31,0.89,2020,1777,0,1.09,0.58,1273,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:03:41,0.91,2018,1779,0,1.14,0.58,1277,0.42,283,0.01,49,0.04,47,28,800
2026-09-06T06:03:51,0.84,2019,1778,0,0.52,0.01,1277,0.43,283,0.02,49,0.06,47,28,800
2026-09-06T06:04:01,0.87,2020,1777,0,1.11,0.59,1273,0.44,283,0.02,49,0.05,48,28,800
2026-09-06T06:04:11,0.81,1977,1820,0,1.08,0.58,1225,0.43,283,0.01,49,0.05,47,28,800
2026-09-06T06:04:21,0.69,1992,1805,0,0.54,0.01,1267,0.44,283,0.02,49,0.06,46,28,800
2026-09-06T06:04:31,0.74,2030,1767,0,1.09,0.58,1273,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:04:41,1.25,2039,1758,0,1.20,0.59,1277,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:04:51,1.13,2020,1777,0,0.53,0.01,1277,0.43,283,0.02,49,0.06,46,28,800
2026-09-06T06:05:01,1.03,2003,1794,0,1.09,0.58,1273,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:05:11,1.10,2015,1782,0,1.06,0.57,1277,0.42,283,0.02,49,0.04,48,28,800
2026-09-06T06:05:21,1.08,2009,1788,0,0.52,0.01,1277,0.43,283,0.02,49,0.06,48,28,800
2026-09-06T06:05:31,0.99,1998,1799,0,1.08,0.57,1262,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:05:41,0.92,2026,1771,0,1.20,0.58,1267,0.43,283,0.01,49,0.05,48,28,800
2026-09-06T06:05:51,0.78,1997,1800,0,0.53,0.02,1267,0.43,283,0.02,49,0.06,46,28,1894
2026-09-06T06:06:01,0.89,2011,1786,0,1.08,0.58,1262,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:06:11,1.06,2012,1785,0,1.07,0.57,1267,0.42,283,0.02,49,0.05,47,28,879
2026-09-06T06:06:21,0.97,1993,1804,0,0.54,0.02,1272,0.44,283,0.02,49,0.06,48,28,2700
2026-09-06T06:06:31,0.90,2000,1797,0,1.07,0.56,1262,0.43,283,0.02,49,0.05,47,28,2400
2026-09-06T06:06:41,0.91,2020,1777,0,1.19,0.58,1267,0.42,283,0.01,49,0.05,46,28,800
2026-09-06T06:06:51,0.85,2022,1775,0,0.55,0.03,1283,0.44,283,0.02,49,0.06,49,28,2700
2026-09-06T06:07:01,0.79,2023,1774,0,1.07,0.56,1273,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:07:11,0.75,2044,1753,0,1.06,0.57,1277,0.42,283,0.01,49,0.05,46,28,1190
2026-09-06T06:07:21,0.79,2023,1774,0,0.55,0.03,1283,0.43,283,0.02,49,0.07,47,28,2700
2026-09-06T06:07:31,0.74,2013,1784,0,1.06,0.56,1273,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:07:41,0.71,2025,1772,0,1.13,0.58,1277,0.41,283,0.01,49,0.04,47,28,800
2026-09-06T06:07:51,0.94,2004,1793,0,0.54,0.04,1283,0.42,283,0.02,49,0.06,48,28,2700
2026-09-06T06:08:01,0.87,1989,1808,0,1.06,0.55,1273,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:08:11,1.33,1986,1811,0,1.08,0.58,1235,0.43,283,0.02,49,0.05,46,28,913
2026-09-06T06:08:21,1.37,1995,1802,0,0.57,0.05,1272,0.44,283,0.02,49,0.06,47,28,2700
2026-09-06T06:08:31,1.16,2040,1757,0,1.06,0.54,1273,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:08:41,1.51,2025,1772,0,1.12,0.57,1277,0.42,283,0.01,49,0.04,48,28,2604
2026-09-06T06:08:51,1.66,2013,1784,0,0.56,0.05,1283,0.43,283,0.02,49,0.06,47,28,2778
2026-09-06T06:09:01,1.41,2004,1793,0,1.04,0.54,1273,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:09:11,1.49,2004,1793,0,1.06,0.56,1235,0.42,283,0.01,49,0.05,46,28,1100
2026-09-06T06:09:21,1.66,2024,1773,0,0.57,0.05,1272,0.44,283,0.02,49,0.06,48,28,2800
2026-09-06T06:09:31,1.40,2018,1779,0,1.03,0.53,1262,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:09:41,1.41,2020,1777,0,1.07,0.57,1267,0.43,283,0.02,49,0.05,47,28,925
2026-09-06T06:09:51,1.43,2022,1775,0,0.63,0.06,1272,0.42,283,0.02,49,0.06,47,28,2748
2026-09-06T06:10:01,1.36,2004,1793,0,1.03,0.53,1263,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:10:11,1.61,1998,1799,0,1.07,0.57,1267,0.43,283,0.02,49,0.05,47,28,884
2026-09-06T06:10:21,1.60,1995,1802,0,0.58,0.07,1272,0.43,283,0.02,49,0.06,46,28,3200
2026-09-06T06:10:31,1.36,2031,1766,0,1.03,0.52,1263,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:10:41,1.52,1999,1798,0,1.06,0.57,1267,0.42,283,0.02,49,0.05,46,28,824
2026-09-06T06:10:51,1.76,2019,1778,0,0.66,0.08,1272,0.42,283,0.02,49,0.06,49,28,2782
2026-09-06T06:11:01,1.49,1992,1805,0,1.02,0.51,1263,0.43,283,0.02,49,0.05,47,28,800
2026-09-06T06:11:11,1.41,1988,1809,0,1.07,0.57,1267,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:11:21,1.59,2013,1784,0,0.60,0.08,1272,0.44,283,0.02,49,0.06,47,28,2750
2026-09-06T06:11:31,1.43,1985,1812,0,1.02,0.51,1263,0.43,283,0.02,49,0.05,47,28,800
2026-09-06T06:11:41,1.28,2007,1790,0,1.08,0.57,1267,0.43,283,0.01,49,0.05,48,28,800
2026-09-06T06:11:51,1.32,1999,1798,0,0.65,0.08,1272,0.42,283,0.02,49,0.06,48,28,3200
2026-09-06T06:12:01,1.19,1998,1799,0,1.01,0.51,1263,0.42,283,0.02,49,0.05,48,28,2700
2026-09-06T06:12:11,1.39,2022,1775,0,1.07,0.58,1267,0.42,283,0.01,49,0.04,48,28,800
