ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T09:06:31,0.81,1200,2597,0,0.77,,572,,251,,49,,46,28,800
2026-09-06T09:06:41,0.84,1976,1821,0,1.81,1.32,1182,0.42,283,0.01,49,0.04,47,28,800
2026-09-06T09:06:51,0.71,2059,1738,0,1.08,0.58,1235,0.43,283,0.01,49,0.05,48,28,1017
2026-09-06T09:07:01,0.60,2004,1793,0,1.02,0.51,1238,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T09:07:11,0.58,1982,1815,0,0.57,0.07,1239,0.42,283,0.02,49,0.06,46,28,800
2026-09-06T09:07:21,0.64,2008,1789,0,1.08,0.57,1235,0.43,283,0.02,49,0.05,47,28,800
2026-09-06T09:07:31,0.70,1646,2151,0,0.94,0.50,1240,,,,,,,28,3200
2026-09-06T09:07:41,0.59,1642,2155,0,0.02,0.01,1240,,,,,,,28,1275
2026-09-06T09:07:51,0.50,1649,2148,0,0.01,0.00,1240,,,,,,,28,1275
2026-09-06T09:08:01,0.42,1642,2155,0,0.11,0.10,1235,,,,,,,28,1250
2026-09-06T09:08:11,0.36,1648,2149,0,0.00,0.00,1235,,,,,,,28,1260
2026-09-06T09:08:21,0.30,1648,2149,0,0.01,0.00,1235,,,,,,,28,1250
2026-09-06T09:08:32,0.26,1641,2156,0,0.01,0.00,1235,,,,,,,28,1700
2026-09-06T09:08:42,0.22,1647,2150,0,0.00,0.00,1235,,,,,,,28,1292
2026-09-06T09:08:52,0.18,1647,2150,0,0.01,0.00,1235,,,,,,,28,1250
2026-09-06T09:09:02,0.15,1645,2152,0,0.01,0.00,1235,,,,,,,28,1399
2026-09-06T09:09:12,0.13,1645,2152,0,0.00,0.00,1235,,,,,,,28,1275
2026-09-06T09:09:22,0.11,1656,2141,0,0.01,0.00,1235,,,,,,,28,1250
2026-09-06T09:09:32,0.09,1665,2132,0,0.01,0.00,1235,,,,,,,28,1250
2026-09-06T09:09:42,0.08,1654,2143,0,0.00,0.00,1235,,,,,,,28,1275
2026-09-06T09:09:52,0.07,1654,2143,0,0.01,0.00,1235,,,,,,,28,1250
2026-09-06T09:10:02,0.06,513,3284,0,0.07,,,,,,,,,28,1275
2026-09-06T09:10:12,0.05,505,3292,0,0.01,,,,,,,,,28,1275
2026-09-06T09:10:22,0.04,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:10:32,0.03,505,3292,0,0.00,,,,,,,,,28,1250
2026-09-06T09:10:42,0.03,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:10:52,0.02,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:11:02,0.02,505,3292,0,0.00,,,,,,,,,28,1250
2026-09-06T09:11:12,0.02,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:11:22,0.01,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:11:32,0.01,505,3292,0,0.00,,,,,,,,,28,1275
2026-09-06T09:11:42,0.01,506,3291,0,0.00,,,,,,,,,28,2347
2026-09-06T09:11:52,0.01,512,3285,0,0.13,,,,,,,,38,28,1250
