ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T09:12:09,0.07,1191,2606,0,0.64,,575,,259,,49,,46,28,1200
2026-09-06T09:12:19,0.35,1957,1840,0,1.81,1.32,1184,0.41,276,0.01,49,0.04,45,28,800
2026-09-06T09:12:29,0.45,2051,1746,0,1.16,0.65,1264,0.43,283,0.01,49,0.05,47,28,800
2026-09-06T09:12:39,0.62,2025,1772,0,1.14,0.63,1239,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T09:12:49,0.52,1982,1815,0,0.53,0.01,1271,0.44,283,0.02,49,0.06,45,28,1000
2026-09-06T09:12:59,0.66,2060,1737,0,1.16,0.65,1267,0.43,283,0.01,49,0.05,46,28,800
2026-09-06T09:13:09,0.64,1673,2124,0,0.76,0.53,1208,,,0.02,49,0.04,47,28,1275
2026-09-06T09:13:19,0.54,1648,2149,0,0.06,0.00,1208,,,0.02,49,0.04,46,28,1275
2026-09-06T09:13:29,0.53,1624,2173,0,0.53,0.48,1201,,,0.02,49,0.03,45,28,1275
2026-09-06T09:13:39,0.53,2020,1777,0,0.42,0.00,1243,,350,0.02,49,0.03,46,28,3107
2026-09-06T09:13:49,0.60,2018,1779,0,1.69,0.67,1221,0.98,382,0.01,49,0.02,47,28,1150
2026-09-06T09:13:59,1.03,2100,1697,0,1.54,0.60,1267,0.89,400,0.01,49,0.02,47,28,2228
2026-09-06T09:14:09,1.40,2058,1739,0,1.44,0.54,1273,0.86,400,0.01,49,0.02,46,28,1200
2026-09-06T09:14:19,1.27,2091,1706,0,0.82,0.01,1273,0.78,410,0.01,49,0.02,46,28,2221
2026-09-06T09:14:29,1.14,2061,1736,0,1.42,0.54,1272,0.84,410,0.01,49,0.02,45,28,3206
2026-09-06T09:14:39,1.20,2046,1751,0,1.47,0.54,1240,0.88,410,0.01,49,0.03,46,28,2533
2026-09-06T09:14:49,1.17,2068,1729,0,0.83,0.01,1272,0.78,410,0.01,49,0.02,47,28,3200
2026-09-06T09:14:59,1.14,2051,1746,0,1.44,0.54,1271,0.86,410,0.01,49,0.02,46,28,2900
2026-09-06T09:15:09,1.20,2068,1729,0,1.48,0.54,1272,0.89,410,0.01,49,0.03,45,28,1800
2026-09-06T09:15:19,1.09,2066,1731,0,0.84,0.01,1272,0.80,410,0.01,49,0.03,47,28,800
2026-09-06T09:15:29,1.44,2095,1702,0,1.46,0.55,1271,0.87,410,0.01,49,0.02,47,28,3200
2026-09-06T09:15:39,1.53,2069,1728,0,1.45,0.53,1272,0.87,410,0.01,49,0.02,47,28,2000
2026-09-06T09:15:49,1.38,2067,1730,0,0.86,0.01,1272,0.81,410,0.01,49,0.03,47,28,1748
2026-09-06T09:15:59,1.31,2051,1746,0,1.14,0.53,1271,0.55,403,0.01,49,0.04,47,28,800
2026-09-06T09:16:09,1.11,540,3257,0,0.11,,,,,0.02,49,0.03,47,28,1275
2026-09-06T09:16:19,0.94,549,3248,0,0.12,,,,,0.02,49,0.03,45,28,1275
