ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T08:57:59,0.45,1451,2346,0,1.20,,842,,351,,49,,47,28,3200
2026-09-06T08:58:09,0.85,2080,1717,0,2.29,1.33,1246,0.91,351,0.01,49,0.02,47,28,3176
2026-09-06T08:58:19,0.80,2086,1711,0,1.35,0.46,1277,0.85,351,0.01,49,0.02,46,28,1400
2026-09-06T08:58:29,0.98,2085,1712,0,1.49,0.60,1276,0.85,352,0.01,49,0.03,48,28,1325
2026-09-06T08:58:39,1.06,2043,1754,0,1.07,0.24,1282,0.79,352,0.01,49,0.03,48,28,2826
2026-09-06T08:58:49,0.97,2044,1753,0,1.37,0.45,1290,0.88,362,0.01,49,0.03,48,28,2400
2026-09-06T08:58:59,1.05,2093,1704,0,1.52,0.61,1263,0.86,362,0.01,49,0.03,47,28,2129
2026-09-06T08:59:09,1.12,2069,1728,0,1.09,0.23,1294,0.82,362,0.01,49,0.02,47,28,2757
2026-09-06T08:59:19,1.03,2076,1721,0,1.36,0.47,1278,0.84,362,0.01,49,0.02,48,28,2525
2026-09-06T08:59:29,1.02,2095,1702,0,1.47,0.61,1277,0.82,362,0.01,49,0.02,47,28,2600
2026-09-06T08:59:39,0.94,2048,1749,0,1.10,0.24,1272,0.83,362,0.01,49,0.02,48,28,2700
2026-09-06T08:59:49,0.79,2058,1739,0,1.34,0.47,1290,0.83,362,0.01,49,0.02,48,28,1800
2026-09-06T08:59:59,0.82,2036,1761,0,1.48,0.60,1264,0.84,362,0.01,49,0.02,47,28,823
2026-09-06T09:00:09,1.00,2015,1782,0,1.11,0.24,1242,0.83,362,0.01,49,0.02,48,28,3175
2026-09-06T09:00:19,0.85,2087,1710,0,1.35,0.45,1279,0.86,362,0.01,49,0.02,49,28,3201
2026-09-06T09:00:29,0.79,2087,1710,0,1.48,0.61,1277,0.83,362,0.01,49,0.02,48,28,2000
2026-09-06T09:00:39,1.20,2079,1718,0,1.11,0.25,1289,0.83,362,0.01,49,0.02,47,28,2800
2026-09-06T09:00:49,1.09,2073,1724,0,1.35,0.45,1291,0.86,362,0.01,49,0.03,48,28,2600
2026-09-06T09:00:59,1.29,2104,1693,0,1.56,0.61,1264,0.91,362,0.01,49,0.03,48,28,3200
2026-09-06T09:01:09,1.39,2070,1727,0,1.13,0.25,1284,0.84,362,0.01,49,0.03,48,28,3200
2026-09-06T09:01:19,1.18,2061,1736,0,1.32,0.45,1289,0.83,362,0.01,49,0.02,46,28,3200
2026-09-06T09:01:29,1.22,2050,1747,0,1.49,0.60,1278,0.85,362,0.01,49,0.02,48,28,1700
2026-09-06T09:01:39,1.43,2085,1712,0,1.12,0.26,1289,0.82,373,0.01,49,0.02,48,28,3000
2026-09-06T09:01:49,1.29,2065,1732,0,1.45,0.43,1291,0.97,373,0.01,49,0.03,48,28,2600
2026-09-06T09:01:59,1.17,549,3248,0,0.39,,,,,0.01,49,0.04,48,28,3200
2026-09-06T09:02:09,0.99,550,3247,0,0.05,,,,,0.02,49,0.03,47,28,1280
2026-09-06T09:02:19,1.00,551,3246,0,0.05,,,,,0.02,49,0.03,48,28,1948
2026-09-06T09:02:29,0.84,551,3246,0,0.05,,,,,0.02,49,0.03,48,28,1325
2026-09-06T09:02:39,0.71,551,3246,0,0.05,,,,,0.02,49,0.03,47,28,1312
2026-09-06T09:02:49,0.60,549,3248,0,0.04,,,,,0.02,49,0.03,48,28,1300
2026-09-06T09:02:59,0.51,555,3242,0,0.11,,,,,0.02,49,0.03,48,28,800
